,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice
2003-07-31,16,1002,17,1,361,62,18,1074,75,27,1,7,245,364,2,18,3115,31,31,159,1318,2009,0,14,0,202,17,66,51,1,111,5,265,0,200,385,763,988,68,
2004-01-31,13,956,16,4,387,82,25,941,59,25,3,10,294,316,3,27,2724,31,11,149,1310,2054,0,5,0,223,13,54,59,2,98,5,276,0,205,378,644,974,73,
2004-07-31,11,971,7,1,387,64,19,827,69,11,3,4,220,279,2,13,3000,32,49,164,1384,2077,0,13,0,246,12,64,68,3,90,8,284,0,128,444,708,878,69,
2005-01-31,13,907,5,1,505,68,14,821,46,20,4,5,233,250,0,14,2800,27,36,181,1470,1663,0,13,0,256,12,67,63,6,70,7,331,0,139,381,887,700,74,
2005-07-31,11,889,8,2,420,33,11,601,49,15,5,2,258,228,1,26,2866,31,17,166,1586,1557,1,20,0,292,10,52,64,4,50,10,353,0,82,486,735,693,68,
2006-01-31,12,856,5,2,343,27,15,594,51,32,3,4,242,253,2,18,2821,32,6,192,1671,1327,0,12,8,323,5,51,58,1,62,2,347,0,93,446,660,665,67,
2006-07-31,9,968,4,0,384,15,14,605,66,24,2,3,261,258,3,26,3143,28,5,165,1584,1261,0,14,39,335,3,80,67,5,85,7,385,0,120,579,315,665,61,
2007-01-31,14,947,10,3,472,38,13,710,71,29,3,4,204,227,1,30,3184,19,3,188,1481,1328,0,9,51,349,10,66,61,0,59,2,355,0,123,482,337,643,66,
2007-07-31,12,1007,5,3,370,35,17,944,67,22,5,6,280,260,8,33,3038,28,122,197,1539,1576,0,12,44,330,9,91,72,8,63,9,346,0,107,566,312,646,85,
2008-01-31,11,982,3,3,408,28,19,852,67,20,3,4,254,262,2,28,3144,39,141,175,1351,1535,0,7,54,329,9,102,77,3,58,13,358,0,85,491,304,707,81,
2008-07-31,20,956,13,1,352,54,19,952,85,21,5,3,309,297,1,27,2801,85,122,162,1375,1920,0,16,44,302,5,75,61,4,56,3,373,0,83,408,271,647,84,
2009-01-31,9,899,7,4,389,37,21,994,88,34,2,7,260,332,2,17,2909,39,145,166,1335,1994,0,11,38,334,5,88,69,0,76,4,307,0,93,445,347,573,70,
2009-07-31,19,901,5,1,417,34,26,1020,89,24,4,1,252,303,1,26,2755,45,9,182,1330,1986,0,10,31,254,8,102,64,1,76,3,304,0,96,421,272,626,97,951498.5
2010-01-31,13,913,5,5,405,28,25,1027,86,15,1,7,212,305,1,38,3313,32,9,245,1386,1853,0,9,33,315,10,110,76,2,97,3,324,0,110,594,215,689,98,946849.257502
2010-07-31,22,1053,8,4,356,35,19,889,71,18,8,7,132,319,0,22,3049,31,14,287,1560,1809,0,14,36,280,6,142,83,2,79,7,519,0,109,655,161,738,106,958844.771154
2011-01-31,14,1140,5,6,332,37,41,839,94,18,6,0,118,356,0,35,3297,26,29,410,1773,1788,0,11,38,344,14,116,58,0,90,12,625,0,114,574,216,875,93,991061.50641
2011-07-31,10,1100,10,2,328,42,23,670,79,17,3,3,118,301,0,32,2931,51,6,439,1761,1686,0,13,33,295,11,139,71,1,98,7,543,0,97,503,200,740,98,1029044.55128
2012-01-31,13,1045,2,6,339,51,22,508,78,20,1,4,72,309,2,33,3201,24,11,326,1677,1684,1,3,47,363,8,93,85,1,77,3,468,0,101,537,220,703,103,1062527.49359
2012-07-31,13,973,7,6,385,46,28,495,71,14,2,3,99,233,0,21,3417,31,4,249,1696,1602,1,10,33,341,7,106,59,6,89,4,508,0,119,612,209,675,78,1205755.12308
2013-01-31,15,1008,2,4,400,43,31,463,78,19,3,1,147,279,0,22,4364,13,7,308,1758,1531,1,14,62,464,1,126,87,2,124,3,493,0,113,696,303,731,112,1328228.99359
2013-07-31,14,1045,1,7,459,29,62,740,153,22,2,4,125,244,1,29,3901,20,7,326,2098,1608,1,9,34,395,8,136,92,0,111,4,534,1,146,497,207,909,118,1422118.89103
2014-01-31,17,1017,3,6,471,30,40,568,175,22,1,6,127,261,0,51,4886,34,4,345,2205,1748,0,6,41,378,5,106,55,0,126,5,521,0,104,588,234,853,114,1527085.64615
2014-07-31,30,1055,5,4,450,21,31,533,60,18,3,4,79,229,0,38,4412,19,2,362,1883,1771,0,8,0,257,7,130,65,0,89,2,406,0,100,595,310,666,80,1486098.23654
2015-01-31,10,1029,3,4,471,32,35,359,53,24,0,4,87,289,0,36,5940,12,7,367,2015,1635,0,50,0,346,9,126,71,0,95,6,442,0,100,756,288,655,123,1559571.55926
2015-07-31,24,996,2,6,414,54,34,300,45,19,3,5,80,312,0,23,5618,8,2,379,1769,1564,0,66,0,348,10,106,73,0,100,3,457,0,132,676,395,564,126,1782797.02533
